rule_id,category,reason,owner,evidence,scope
CORE-000773,operation,operation pipeline semantics need oracle review,core-api,open-rules-scoreboard,open-rules-oracle-harness
CORE-001034,operation,operation pipeline semantics need oracle review,core-api,open-rules-scoreboard,open-rules-oracle-harness
CORE-000014,official_oracle_fixture_gap,official result reports SUOCCUR issue even though SUOCCUR is blank,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000049,official_oracle_fixture_gap,official result uses LBIMPLBL while rule checks --USCHFL,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000080,official_oracle_fixture_gap,official result is empty while fixture contains --TPTREF without timing reference columns,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000081,official_oracle_fixture_gap,official result is empty while fixture contains --STAT without --PRESP,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000108,official_oracle_fixture_gap,official result is empty while DD contains subject with blank DM.DTHFL,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000117,official_oracle_fixture_gap,official result uses context variables and typo not aligned with rule outcome variables,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000143,official_oracle_fixture_gap,official result is empty while positive fixture contains ETCD value longer than eight characters,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000172,official_oracle_fixture_gap,negative and positive fixture results disagree with STUDYID values present in AE data,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000184,official_oracle_fixture_gap,official result omits MH not-unique relationship rows even though rule scope includes EVENTS,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000195,official_oracle_fixture_gap,official result omits one fixture row where AESCAT equals AEDECOD,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000197,official_oracle_fixture_gap,official result omits fixture rows where MHCAT equals MHBODSYS,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000198,official_oracle_fixture_gap,official result omits fixture rows where MHSCAT equals MHBODSYS,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000224,official_oracle_fixture_gap,official result reports DTHFL for ACTARM/ARMNRS rule,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000225,official_oracle_fixture_gap,official result record values are shifted from fixture rows for --REASND and --STAT comparison,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000252,official_oracle_fixture_gap,official result is empty while DS contains DEATH for a subject whose DM.DTHFL is blank,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000262,official_oracle_fixture_gap,official result is empty while fixture has empty DM.RFSTDTC and populated CMSTRF,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000267,official_oracle_fixture_gap,official result omits fixture rows where --PTCD is populated and --DECOD is empty,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000268,official_oracle_fixture_gap,official result omits MH not-unique relationship rows even though rule scope includes EVENTS,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000289,official_oracle_fixture_gap,official result values do not appear in negative/01 fixture data,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000370,official_oracle_fixture_gap,official result reports DS death records for an informed-consent RFICDTC rule,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000438,official_oracle_fixture_gap,official result reports QVAL despite outcome variables QNAM and QLABEL and positive fixture has populated QVAL,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000454,official_oracle_fixture_gap,official result is empty while DM end date differs from latest EX exposure date available in fixture,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000458,official_oracle_fixture_gap,official result includes POOLID values absent from negative/02 fixture data,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000529,official_oracle_fixture_gap,official result includes DM row with empty DMDY despite rule requiring --DY non_empty,core-api,Published/CORE-000529/negative/01 results.csv vs DM fixture,open-rules-oracle-harness
CORE-000542,official_oracle_fixture_gap,official result omits numeric --STRESC and --STRESN mismatch rows required by the rule,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000546,official_oracle_fixture_gap,positive fixture official result contains DS issues while candidate correctly passes,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000554,official_oracle_fixture_gap,official result reports RSTAGE populated although negative/01 fixture row has blank RSTAGE,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000569,official_oracle_fixture_gap,official result flags ARM1 even though the rule regex allows uppercase letters and digits,core-api,Published/CORE-000569/negative/01 results.csv vs rule regex,open-rules-oracle-harness
CORE-000570,official_oracle_fixture_gap,official result reports empty USUBJID although negative/01 fixture row has USUBJID,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000648,official_oracle_fixture_gap,official result does not match AGE/AGETXT values in positive and negative fixtures,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000698,official_oracle_fixture_gap,official result uses PDVALMAX rows for the PDVALMIN rule,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000704,official_oracle_fixture_gap,official result uses PDVALMIN rows for the PDVALMAX rule,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000718,official_oracle_fixture_gap,positive and negative official results are inconsistent with --STDTC greater-than --ENDTC fixture values,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000770,official_oracle_fixture_gap,official result includes TX Record 8 although negative fixture has only seven TX rows,core-api,full-upstream-baseline,open-rules-oracle-harness
CORE-000814,official_oracle_fixture_gap,official result omits StudyVersion_2 governance date rows present in fixture data,core-api,Published/CORE-000814/negative/01 results.csv vs USDM fixture,open-rules-oracle-harness
